name,date,is_hazardous,diameter_min_m,diameter_max_m,diameter_avg_m,velocity_kmh,miss_distance_km,orbiting_body
(2014 AE29),2026-06-10,False,8.801465209,19.6806745089,14.24106985895,26999.6172446865,37075104.401697144,Earth
(2015 XF261),2026-06-10,False,23.6894499356,52.9712204056,38.3303351706,32307.6900117264,42069802.56825236,Earth
(2016 BN1),2026-06-10,False,197.0402621378,440.5954204445,318.81784129115,49632.4038723041,28910360.49959403,Earth
(2016 TQ56),2026-06-10,False,43.1077123878,96.3917752536,69.7497438207,47403.1832381917,21405492.697342403,Earth
(2019 VB5),2026-06-10,False,1.214940408,2.7166893409,1.96581487445,66568.0713262398,64585844.82228068,Earth
(2004 VJ1),2026-06-09,False,40.2304579834,89.9580388169,65.09424840015001,18252.6042158312,27614593.281508785,Earth
(2019 UX6),2026-06-09,False,11.0803882126,24.7765012606,17.9284447366,25266.4481753652,66948121.779298276,Earth
530974 (2012 BN11),2026-06-08,True,185.5901730037,414.9922427922,300.29120789795,26894.5811120264,18129603.282334883,Earth
(2015 LC21),2026-06-08,False,66.7659413495,149.2931834393,108.0295623944,56380.4152141126,51769293.30876811,Earth
(2019 MT3),2026-06-08,False,68.9532874451,154.1842379994,111.56876272225,25175.9588311826,43357281.94466131,Earth
(2024 BY15),2026-06-08,False,11.709948272,26.1842403492,18.9470943106,53916.3185720944,73426935.75915931,Earth
(2006 MB),2026-06-07,False,80.6408276759,180.3183724451,130.4796000605,26399.9550453693,15101007.673515953,Earth
(2018 GE),2026-06-07,False,8.4053340207,18.7948982439,13.6001161323,11140.0153655584,6267506.031059661,Earth
(2019 CH1),2026-06-07,True,151.5496635722,338.8753497147,245.21250664345,78804.2811796736,23613187.587245848,Earth
(2020 DJ),2026-06-07,False,15.2951935344,34.201092472,24.7481430032,19690.6486275341,60137859.13265992,Earth
478784 (2012 UV136),2026-06-06,False,20.1629919443,45.0858206172,32.62440628075,57882.1596699298,62319855.86109817,Earth
(2005 WR2),2026-06-06,False,331.5545380858,741.3784854083,536.4665117470499,52110.6439547264,14925563.315762656,Earth
(2013 MR),2026-06-06,False,126.0535196822,281.8642388124,203.9588792473,62424.7705816326,16795040.175432127,Earth
(2019 UK13),2026-06-06,False,30.3777061387,67.9266159267,49.15216103269999,21812.8270311597,59095711.57141473,Earth
662203 (2005 WR2),2026-06-06,False,339.2774353821,758.6474087461,548.9624220641,52110.622956137,14925578.245630082,Earth
(2008 QV11),2026-06-05,False,143.4019234645,320.6564489709,232.0291862177,54758.0351628068,18818979.962472077,Earth
(2014 KG39),2026-06-05,False,26.58,59.4346868419,43.00734342095,28779.6023328323,13311906.293686686,Earth
(2014 MG6),2026-06-05,False,15.2951935344,34.201092472,24.7481430032,30192.1313284423,20668983.11389153,Earth
(2019 AX3),2026-06-05,False,8.4053340207,18.7948982439,13.6001161323,23035.9953897604,59644563.26797062,Earth
(2019 NX5),2026-06-05,False,4.0230457983,8.9958038817,6.50942484,22409.4496228421,21154729.74646809,Earth
(2017 QM18),2026-06-04,False,506.4714588346,1132.5046106177,819.4880347261501,76576.3394272042,36580752.09180968,Earth
(2019 ER),2026-06-04,False,10.1054341542,22.5964377109,16.350935932549998,37028.5039881205,37813910.34237209,Earth
(2010 ST16),2026-06-11,False,59.5052078631,133.0576897973,96.28144883019999,65372.5766470939,53040899.67797964,Earth
(2011 JX1),2026-06-11,False,667.6594134952,1492.931834393,1080.2956239441,103788.7178225306,49740172.244380064,Earth
(2013 RE6),2026-06-11,False,132.6034967669,296.5104328249,214.5569647959,32354.5079234765,29080190.12017091,Earth
837610 (2013 RE6),2026-06-11,False,133.8304618158,299.2540100804,216.5422359481,32354.5051428164,29080185.273199923,Earth
